ID,ID_old,dep_time,weight,density,a,b,c,sphericity,shields
129,07570E,224.52569444444444,935,2.61,131,92,58,0.68,8.17
130,0756E5,224.52569444444444,1221,2.68,109,106,61,0.82,9.79
131,0754DD,224.5263888888889,656,2.67,93,79,54,0.79,7.25
132,0756F7,224.5263888888889,534,2.42,102,89,50,0.75,6.94
133,0756BD,224.52708333333334,843,2.8,130,91,43,0.61,9.03
134,07550F,224.52708333333334,457,2.54,91,78,41,0.73,6.61
135,0756D2,227.41805555555555,568,2.73,103,66,60,0.72,6.29
136,0750F4,227.41805555555555,778,2.63,132,81,73,0.7,7.26
137,07510D,227.41805555555555,662,2.58,107,99,62,0.81,8.59
138,0750FE,227.41944444444442,513,2.57,104,73,53,0.71,6.29
139,075114,227.41944444444442,580,2.65,100,100,53,0.81,9.08
140,075706,227.41944444444442,538,2.66,110,71,40,0.62,6.5
141,0750EA,227.42013888888889,551,2.59,105,81,49,0.71,7.08
142,075120,227.42013888888889,440,2.53,92,80,47,0.76,6.74
143,075131,227.42013888888889,720,2.65,142,61,51,0.54,11.57
144,075118,227.42152777777775,730,2.66,112,69,60,0.69,6.32
145,075105,227.42152777777775,611,2.91,105,85,45,0.7,8.94
146,0750EB,227.42152777777775,584,2.65,105,71,57,0.72,6.47
147,075116,227.42291666666665,711,2.84,105,82,50,0.72,8.33
148,07512F,227.42291666666665,681,2.66,102,72,64,0.76,6.58
149,0756DF,227.42291666666665,439,2.68,95,80,56,0.79,7.39
150,0750E9,227.42361111111111,772,2.51,100,95,70,0.87,7.88
151,0750ED,227.42361111111111,575,2.73,102,79,46,0.7,7.51
152,07510C,227.42361111111111,401,2.48,100,82,42,0.7,6.66
153,075127,227.42499999999998,715,2.49,105,89,68,0.82,7.31
154,0754BB,227.42499999999998,561,2.61,112,94,45,0.7,8.33
155,0750FB,227.42499999999998,643,2.55,105,67,72,0.76,5.73
156,0756B8,227.42708333333331,637,2.52,99,82,47,0.73,6.86
157,0756FB,227.42708333333331,446,2.64,107,73,48,0.67,6.59
158,075129,227.42708333333331,609,2.55,103,88,58,0.78,7.5
159,075130,227.42777777777778,667,2.53,107,85,61,0.77,7.15
160,0750D3,227.42777777777778,693,2.67,100,100,62,0.85,9.17
161,075112,227.42777777777778,542,2.61,104,83,50,0.73,7.34
162,0754E1,227.4298611111111,476,2.69,106,84,38,0.66,7.82
163,0756E9,227.4298611111111,440,2.62,91,88,41,0.76,7.85
164,0756F8,227.4298611111111,395,2.74,98,81,44,0.72,7.78
165,0750DA,227.4298611111111,308,2.52,80,64,54,0.81,5.37
166,075103,227.4298611111111,472,2.71,92,68,52,0.75,6.41
167,0756DC,227.43124999999998,384,2.56,88,88,54,0.85,7.56
168,07570C,227.43124999999998,502,2.61,97,75,44,0.71,6.67
169,07510E,227.43124999999998,768,2.82,114,78,60,0.71,7.83
170,075107,227.43263888888887,480,2.54,82,81,55,0.87,6.87
171,0750DE,227.43263888888887,558,2.63,92,84,64,0.86,7.55
172,073FBA,227.43263888888887,471,2.53,100,73,62,0.77,6.16
173,073FDE,227.43402777777777,445,2.51,100,89,54,0.78,7.42
174,073FAD,227.43402777777777,427,2.53,115,70,54,0.66,5.89
175,074582,227.43402777777777,563,2.55,110,85,52,0.71,7.25
176,073FB2,227.43402777777777,401,2.67,89,84,60,0.86,7.74
177,073F96,227.43402777777777,203,2.33,70,56,48,0.82,4.11
178,073FC3,227.43402777777777,355,2.5,80,63,60,0.84,5.21
179,073FBD,227.43541666666667,418,2.47,118,50,45,0.54,4.06
180,073FDD,227.43541666666667,334,2.2,97,69,47,0.7,4.55
181,073FDB,227.43541666666667,237,2.66,70,64,55,0.9,5.86
182,073FB1,227.43541666666667,501,2.68,134,70,49,0.58,6.47
183,073FB7,227.43541666666667,482,2.68,96,74,55,0.76,6.84
184,073FBB,227.43680555555554,422,2.59,101,81,54,0.75,7.09
185,073F97,227.43680555555554,294,2.67,92,52,52,0.68,4.79
186,073FD3,227.43888888888887,315,2.65,85,67,50,0.77,6.08
187,073FA5,227.43888888888887,328,2.52,97,53,53,0.67,4.45
188,073FA6,227.43888888888887,454,2.7,124,57,50,0.57,5.34
189,073F9B,227.43888888888887,379,2.43,85,62,62,0.81,4.88
190,073F9F,227.43888888888887,497,2.64,92,86,60,0.85,7.79
191,075503,230.43055555555554,308,2.5,100,52,40,0.59,4.31
192,07512A,230.43055555555554,505,2.46,92,74,60,0.81,5.96
193,0750E7,230.43055555555554,612,2.55,106,77,52,0.71,6.57
194,075128,230.43055555555554,661,2.59,104,79,79,0.83,6.93
195,0756BF,230.43055555555554,647,2.65,91,90,49,0.81,8.19
196,07570B,230.43263888888887,566,2.56,95,69,70,0.81,5.93
197,0754CC,230.43263888888887,563,2.52,108,65,63,0.71,5.46
198,0756CB,230.43263888888887,536,2.44,112,75,48,0.66,5.93
199,0754E4,230.43263888888887,479,2.44,102,86,42,0.7,6.84
200,0754DE,230.4347222222222,464,2.51,96,62,52,0.7,5.15
201,0756AF,230.4347222222222,554,2.7,121,62,54,0.61,5.81
202,0754BC,230.4347222222222,651,2.66,101,70,64,0.76,6.39
203,0756AD,230.4347222222222,487,2.56,96,82,57,0.8,7.06
204,075501,230.4347222222222,776,2.8,94,80,76,0.88,7.94
205,0754F1,230.43680555555554,743,2.8,133,75,45,0.58,7.45
206,0750FA,230.43680555555554,786,2.72,108,65,83,0.77,6.16
207,0754F7,230.43680555555554,580,2.82,129,71,41,0.56,7.1
208,0756F1,230.43680555555554,646,2.63,111,104,57,0.78,9.31
209,0754CA,230.43680555555554,494,2.78,100,70,58,0.74,6.84
210,0750D8,230.43888888888887,520,2.45,103,77,47,0.7,6.16
211,075102,230.43888888888887,539,2.64,110,81,46,0.68,7.33
212,0754EC,230.43888888888887,702,2.63,95,94,61,0.86,8.44
213,0754B0,230.43888888888887,956,2.6,123,77,80,0.74,6.78
214,075119,230.43888888888887,756,2.93,120,100,73,0.8,10.63
215,07551B,230.44027777777777,461,2.62,101,83,45,0.72,7.4
